Track Number,Album Artist,Song,Duration,Composer,Album,Artist,Plays,Year
4,Switchfoot,The Sound [John M. Perkins' Blues],3:47,,Hello Hurricane,Switchfoot,28,2009
5,Switchfoot,Enough To Let Me Go,3:52,,Hello Hurricane,Switchfoot,38,2009
6,Switchfoot,Free,4:03,,Hello Hurricane,Switchfoot,28,2009
7,Switchfoot,Hello Hurricane,4:04,,Hello Hurricane,Switchfoot,56,2009
8,Switchfoot,Always,4:20,,Hello Hurricane,Switchfoot,76,2009
9,Switchfoot,Bullet Soul,3:24,,Hello Hurricane,Switchfoot,55,2009
10,Switchfoot,Yet,3:54,,Hello Hurricane,Switchfoot,18,2009
11,Switchfoot,Sing It Out,5:18,,Hello Hurricane,Switchfoot,25,2009
12,Switchfoot,Red Eyes,4:50,,Hello Hurricane,Switchfoot,33,2009
13,Switchfoot,Mess Of Me,3:23,,Hello Hurricane,Switchfoot,22,2009
14,Switchfoot,Always,4:23,,Hello Hurricane,Switchfoot,22,2009
15,Switchfoot,"Stitches [from unreleased ""Eastern Hymns For Western Shores""",3:08,,Hello Hurricane,Switchfoot,21,2009
1 of 1,Switchfoot,I Won't Let You Go (Acoustic),4:22,,I Won't Let You Go (Acoustic) - Single,Switchfoot,15,2017
1,Switchfoot,I Dare You To Move,4:07,Jonathan Foreman,Learning To Breathe,Switchfoot,18,2000
2,Switchfoot,Learning To Breathe,4:36,Jonathan Foreman,Learning To Breathe,Switchfoot,36,2000
3,Switchfoot,You Already Take Me There,2:42,Tim Foreman,Learning To Breathe,Switchfoot,14,2000
4,Switchfoot,Love Is The Movement,5:09,Jonathan Foreman,Learning To Breathe,Switchfoot,9,2000
5,Switchfoot,Poparazzi,3:20,Jonathan Foreman,Learning To Breathe,Switchfoot,11,2000
6,Switchfoot,Innocence Again,3:28,Jonathan Foreman,Learning To Breathe,Switchfoot,11,2000
7,Switchfoot,Playing For Keeps,3:44,Jonathan Foreman,Learning To Breathe,Switchfoot,14,2000
8,Switchfoot,The Loser,3:39,Jonathan Foreman,Learning To Breathe,Switchfoot,10,2000
9,Switchfoot,The Economy Of Mercy,3:55,Jonathan Foreman,Learning To Breathe,Switchfoot,12,2000
10,Switchfoot,Erosion,3:23,Jonathan Foreman,Learning To Breathe,Switchfoot,15,2000
11,Switchfoot,Living Is Simple,5:16,Jonathan Foreman,Learning To Breathe,Switchfoot,9,2000
1 of 11,Switchfoot,Bomb,2:45,J. Foreman,The Legend Of Chin,Switchfoot,12,1997
2 of 11,Switchfoot,Chem 6A,3:11,J. Foreman,The Legend Of Chin,Switchfoot,11,1997
3 of 11,Switchfoot,Underwater,3:47,Switchfoot,The Legend Of Chin,Switchfoot,14,1997
4 of 11,Switchfoot,Edge of My Seat,2:47,J. Foreman,The Legend Of Chin,Switchfoot,8,1997
5 of 11,Switchfoot,Home,4:04,J. Foreman,The Legend Of Chin,Switchfoot,7,1997
6 of 11,Switchfoot,Might Have Ben Hur,2:38,J. Foreman,The Legend Of Chin,Switchfoot,14,1997
7 of 11,Switchfoot,Concrete Girl,5:06,J. Foreman,The Legend Of Chin,Switchfoot,11,1997
8 of 11,Switchfoot,Life and Love and Why,2:53,J. Foreman,The Legend Of Chin,Switchfoot,14,1997
9 of 11,Switchfoot,You,4:13,J. Foreman,The Legend Of Chin,Switchfoot,54,1997
10 of 11,Switchfoot,Ode To Chin,2:15,J. Foreman,The Legend Of Chin,Switchfoot,6,1997
11 of 11,Switchfoot,Don't Be There,4:23,J. Foreman,The Legend Of Chin,Switchfoot,14,1997
1,Switchfoot,Dare You To Move,5:57,,Live,Switchfoot,30,2004
2,Switchfoot,On Fire,5:00,,Live,Switchfoot,14,2004
3,Switchfoot,The Beautiful Letdown,6:17,,Live,Switchfoot,20,2004
